timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717705211118,2,GetNewProducts,200,OK,Thread Group 1-873,text,true,,1864,150,30,30,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211117,1,GetNewProducts,200,OK,Thread Group 1-871,text,true,,1864,150,28,28,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211116,2,GetNewProducts,200,OK,Thread Group 1-870,text,true,,1864,150,28,28,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211115,2,GetNewProducts,200,OK,Thread Group 1-869,text,true,,1864,150,26,26,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211113,3,GetNewProducts,200,OK,Thread Group 1-868,text,true,,1864,150,25,25,http://localhost:5000/api/product/newProducts/?page=1,3,0,0
1717705211112,4,GetNewProducts,200,OK,Thread Group 1-867,text,true,,1864,150,25,25,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211112,4,GetNewProducts,200,OK,Thread Group 1-866,text,true,,1864,150,25,25,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211111,4,GetNewProducts,200,OK,Thread Group 1-865,text,true,,1864,150,24,24,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211110,5,GetNewProducts,200,OK,Thread Group 1-864,text,true,,1864,150,24,24,http://localhost:5000/api/product/newProducts/?page=1,5,0,0
1717705211109,4,GetNewProducts,200,OK,Thread Group 1-863,text,true,,1864,150,23,23,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211108,4,GetNewProducts,200,OK,Thread Group 1-862,text,true,,1864,150,23,23,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211106,6,GetNewProducts,200,OK,Thread Group 1-860,text,true,,1864,150,22,22,http://localhost:5000/api/product/newProducts/?page=1,6,0,0
1717705211106,6,GetNewProducts,200,OK,Thread Group 1-861,text,true,,1864,150,22,22,http://localhost:5000/api/product/newProducts/?page=1,6,0,0
1717705211105,7,GetNewProducts,200,OK,Thread Group 1-859,text,true,,1864,150,22,22,http://localhost:5000/api/product/newProducts/?page=1,7,0,0
1717705211104,7,GetNewProducts,200,OK,Thread Group 1-858,text,true,,1864,150,20,20,http://localhost:5000/api/product/newProducts/?page=1,7,0,0
1717705211103,1,GetNewProducts,200,OK,Thread Group 1-857,text,true,,1864,150,13,13,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211102,2,GetNewProducts,200,OK,Thread Group 1-856,text,true,,1864,150,12,12,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
